,batchsize,package,elapsed_time,throughput
0,100,XGBoost,0.004611103534698486,21686.78262101501
1,100,treelite,0.0017873668670654297,55948.222965654495
2,256,XGBoost,0.005725297927856445,44713.830306442505
3,256,treelite,0.002750709056854248,93066.91282456656
4,655,XGBoost,0.010873246192932128,60239.599874577085
5,655,treelite,0.006527047157287597,100351.65737521561
6,1678,XGBoost,0.021020333766937255,79827.46699480648
7,1678,treelite,0.014828062057495118,113163.81017921516
8,4298,XGBoost,0.04106630802154541,104660.00493019869
9,4298,treelite,0.027299859523773194,157436.70754998672
10,11006,XGBoost,0.08965684413909912,122756.9418228085
11,11006,treelite,0.056491146087646486,194826.99081594308
12,28183,XGBoost,0.2215535044670105,127206.29298010709
13,28183,treelite,0.13110944747924805,214957.81228473864
14,72164,XGBoost,0.5580030632019043,129325.4549283516
15,72164,treelite,0.3239613938331604,222754.93738974447
16,184778,XGBoost,1.4305937552452088,129161.75491646012
17,184778,treelite,0.8256023263931275,223809.9313591495
18,473133,XGBoost,3.6360394954681396,130123.17401659142
19,473133,treelite,2.0831818652153014,227120.3527163485
