batchsize,trial_id,engine,elapsed_time
100,68,XGBoost,0.0047214
100,69,XGBoost,0.00460267
100,70,XGBoost,0.00466061
100,71,XGBoost,0.00473499
100,72,XGBoost,0.00465035
100,73,XGBoost,0.00468922
100,74,XGBoost,0.00462341
100,75,XGBoost,0.00459957
100,76,XGBoost,0.00467134
100,77,XGBoost,0.00474334
100,78,XGBoost,0.00467658
100,79,XGBoost,0.00468421
100,80,XGBoost,0.00467658
100,81,XGBoost,0.00465202
100,82,XGBoost,0.00472689
100,83,XGBoost,0.00464725
100,84,XGBoost,0.00466418
100,85,XGBoost,0.00468326
100,86,XGBoost,0.00462675
100,87,XGBoost,0.00462461
100,88,XGBoost,0.00469732
100,89,XGBoost,0.0046339
100,90,XGBoost,0.00458217
100,91,XGBoost,0.00471425
100,92,XGBoost,0.00461698
100,93,XGBoost,0.00463343
100,94,XGBoost,0.00469565
100,95,XGBoost,0.00463724
100,96,XGBoost,0.00478554
100,97,XGBoost,0.00470042
100,98,XGBoost,0.00460553
100,99,XGBoost,0.00466514
100,100,XGBoost,0.00470281
215,1,XGBoost,0.0062499
215,2,XGBoost,0.00575519
215,3,XGBoost,0.00549769
215,4,XGBoost,0.00552869
215,5,XGBoost,0.00554609
215,6,XGBoost,0.00551748
215,7,XGBoost,0.0296168
215,8,XGBoost,0.00541425
215,9,XGBoost,0.00545716
215,10,XGBoost,0.00537825
215,11,XGBoost,0.00540423
215,12,XGBoost,0.0054915
215,13,XGBoost,0.00547647
215,14,XGBoost,0.00546956
215,15,XGBoost,0.00544548
215,16,XGBoost,0.0055809
215,17,XGBoost,0.00546122
215,18,XGBoost,0.00541353
215,19,XGBoost,0.00550437
215,20,XGBoost,0.00536752
215,21,XGBoost,0.00546861
215,22,XGBoost,0.00545073
215,23,XGBoost,0.00543308
215,24,XGBoost,0.00538945
215,25,XGBoost,0.00538731
215,26,XGBoost,0.00545645
215,27,XGBoost,0.00540257
215,28,XGBoost,0.00549269
215,29,XGBoost,0.0054276
215,30,XGBoost,0.00541973
215,31,XGBoost,0.00527906
215,32,XGBoost,0.0054965
215,33,XGBoost,0.00546169
215,34,XGBoost,0.0054245
215,35,XGBoost,0.00542927
215,36,XGBoost,0.00539398
215,37,XGBoost,0.00541496
215,38,XGBoost,0.0053854
215,39,XGBoost,0.31382
215,40,XGBoost,0.00560999
215,41,XGBoost,0.00544047
215,42,XGBoost,0.00557423
215,43,XGBoost,0.00550127
215,44,XGBoost,0.00543213
215,45,XGBoost,0.00548387
215,46,XGBoost,0.00544858
215,47,XGBoost,0.00543618
215,48,XGBoost,0.00551319
215,49,XGBoost,0.00542188
215,50,XGBoost,0.0055418
215,51,XGBoost,0.00546288
215,52,XGBoost,0.00543523
215,53,XGBoost,0.00540733
215,54,XGBoost,0.00542498
215,55,XGBoost,0.00536418
215,56,XGBoost,0.00535369
215,57,XGBoost,0.00537419
215,58,XGBoost,0.00532722
215,59,XGBoost,0.00541496
215,60,XGBoost,0.0053978
215,61,XGBoost,0.00546098
215,62,XGBoost,0.00537992
215,63,XGBoost,0.00541329
215,64,XGBoost,0.00545979
215,65,XGBoost,0.00540113
215,66,XGBoost,0.00535226
215,67,XGBoost,0.00545239
215,68,XGBoost,0.00543356
215,69,XGBoost,0.00542688
215,70,XGBoost,0.00541902
215,71,XGBoost,0.00529838
215,72,XGBoost,0.00540161
215,73,XGBoost,0.00540376
215,74,XGBoost,0.00536084
215,75,XGBoost,0.0054388
215,76,XGBoost,0.00535464
215,77,XGBoost,0.00532174
215,78,XGBoost,0.00532556
215,79,XGBoost,0.105366
215,80,XGBoost,0.00551152
215,81,XGBoost,0.00538278
215,82,XGBoost,0.0053308
215,83,XGBoost,0.00536823
215,84,XGBoost,0.00538445
215,85,XGBoost,0.00538707
215,86,XGBoost,0.00546527
215,87,XGBoost,0.00533271
215,88,XGBoost,0.0053668
215,89,XGBoost,0.005445
215,90,XGBoost,0.00537539
215,91,XGBoost,0.00535226
215,92,XGBoost,0.00531411
215,93,XGBoost,0.00540805
215,94,XGBoost,0.00541687
215,95,XGBoost,0.00530005
215,96,XGBoost,0.00533795
215,97,XGBoost,0.00530529
215,98,XGBoost,0.0054903
215,99,XGBoost,0.00534749
215,100,XGBoost,0.00531769
464,1,XGBoost,0.00300431
464,2,XGBoost,0.00294495
464,3,XGBoost,0.00296593
464,4,XGBoost,0.00296354
464,5,XGBoost,0.00293756
464,6,XGBoost,0.00298095
464,7,XGBoost,0.00300074
464,8,XGBoost,0.0029695
464,9,XGBoost,0.00302291
464,10,XGBoost,0.00295663
464,11,XGBoost,0.00297785
464,12,XGBoost,0.0029664
464,13,XGBoost,0.00295925
464,14,XGBoost,0.00295544
464,15,XGBoost,0.00295639
464,16,XGBoost,0.125733
464,17,XGBoost,0.00298023
464,18,XGBoost,0.00295544
464,19,XGBoost,0.0029397
464,20,XGBoost,0.00297594
464,21,XGBoost,0.00294471
464,22,XGBoost,0.00297546
464,23,XGBoost,0.00301123
464,24,XGBoost,0.0683448
464,25,XGBoost,0.00298834
464,26,XGBoost,0.00293708
464,27,XGBoost,0.00292635
464,28,XGBoost,0.00298786
464,29,XGBoost,0.00296021
464,30,XGBoost,0.00294876
464,31,XGBoost,0.00296688
464,32,XGBoost,0.00294185
464,33,XGBoost,0.00295138
464,34,XGBoost,0.00295758
464,35,XGBoost,0.00295138
464,36,XGBoost,0.0029707
464,37,XGBoost,0.0029614
464,38,XGBoost,0.00296998
464,39,XGBoost,0.00296021
464,40,XGBoost,0.0030005
464,41,XGBoost,0.0029552
464,42,XGBoost,0.00296569
464,43,XGBoost,0.00294995
464,44,XGBoost,0.00296903
464,45,XGBoost,0.00294375
464,46,XGBoost,0.00298524
464,47,XGBoost,0.00294447
464,48,XGBoost,0.00296474
464,49,XGBoost,0.00294662
464,50,XGBoost,0.00297141
464,51,XGBoost,0.00300026
464,52,XGBoost,0.00299072
464,53,XGBoost,0.00293684
464,54,XGBoost,0.00301051
464,55,XGBoost,0.00296283
464,56,XGBoost,0.00292492
464,57,XGBoost,0.00300074
464,58,XGBoost,0.00296187
464,59,XGBoost,0.0775707
464,60,XGBoost,0.00296879
464,61,XGBoost,0.002949
464,62,XGBoost,0.00295186
464,63,XGBoost,0.00296497
464,64,XGBoost,0.0029335
464,65,XGBoost,0.00294542
464,66,XGBoost,0.00292921
464,67,XGBoost,0.00295615
464,68,XGBoost,0.00290728
464,69,XGBoost,0.00296855
464,70,XGBoost,0.00296855
464,71,XGBoost,0.00296259
464,72,XGBoost,0.00298357
464,73,XGBoost,0.00295854
464,74,XGBoost,0.0029788
464,75,XGBoost,0.00294518
464,76,XGBoost,0.00296712
464,77,XGBoost,0.00295711
464,78,XGBoost,0.00296879
464,79,XGBoost,0.00297356
464,80,XGBoost,0.00295758
464,81,XGBoost,0.00295687
464,82,XGBoost,0.00296044
464,83,XGBoost,0.00294566
464,84,XGBoost,0.0030036
464,85,XGBoost,0.00294185
464,86,XGBoost,0.00296307
464,87,XGBoost,0.0029726
464,88,XGBoost,0.00294924
464,89,XGBoost,0.0029552
464,90,XGBoost,0.00295663
464,91,XGBoost,0.00299168
464,92,XGBoost,0.00300503
464,93,XGBoost,0.00294447
464,94,XGBoost,0.00301862
464,95,XGBoost,0.00295639
464,96,XGBoost,0.00300145
464,97,XGBoost,0.00298977
464,98,XGBoost,0.00296378
464,99,XGBoost,0.0662749
464,100,XGBoost,0.00296593
1000,1,XGBoost,0.00530696
1000,2,XGBoost,0.00529313
1000,3,XGBoost,0.00529861
1000,4,XGBoost,0.0053196
1000,5,XGBoost,0.0052774
1000,6,XGBoost,0.00527525
1000,7,XGBoost,0.00533795
1000,8,XGBoost,0.0053165
1000,9,XGBoost,0.00530219
1000,10,XGBoost,0.00525522
1000,11,XGBoost,0.0052681
1000,12,XGBoost,0.00533152
1000,13,XGBoost,0.00527287
1000,14,XGBoost,0.00525141
1000,15,XGBoost,0.00528216
1000,16,XGBoost,0.00525212
1000,17,XGBoost,0.00524211
1000,18,XGBoost,0.0052731
1000,19,XGBoost,0.00529194
1000,20,XGBoost,0.0053196
1000,21,XGBoost,0.00526834
1000,22,XGBoost,0.00533533
1000,23,XGBoost,0.00534511
1000,24,XGBoost,0.00529575
1000,25,XGBoost,0.00525665
1000,26,XGBoost,0.00527573
1000,27,XGBoost,0.0731833
1000,28,XGBoost,0.00529051
1000,29,XGBoost,0.00529432
1000,30,XGBoost,0.00525999
1000,31,XGBoost,0.0052588
1000,32,XGBoost,0.0052824
1000,33,XGBoost,0.00532246
1000,34,XGBoost,0.00531626
1000,35,XGBoost,0.00523138
1000,36,XGBoost,0.00528765
1000,37,XGBoost,0.00527596
1000,38,XGBoost,0.00526834
1000,39,XGBoost,0.00530624
1000,40,XGBoost,0.00524712
1000,41,XGBoost,0.00533509
1000,42,XGBoost,0.00524473
1000,43,XGBoost,0.00526881
1000,44,XGBoost,0.00526905
1000,45,XGBoost,0.00525618
1000,46,XGBoost,0.00527668
1000,47,XGBoost,0.00531244
1000,48,XGBoost,0.00527024
1000,49,XGBoost,0.00526595
1000,50,XGBoost,0.00525951
1000,51,XGBoost,0.00528669
1000,52,XGBoost,0.0052669
1000,53,XGBoost,0.00526428
1000,54,XGBoost,0.00525641
1000,55,XGBoost,0.00527263
1000,56,XGBoost,0.00522375
1000,57,XGBoost,0.00527835
1000,58,XGBoost,0.00528145
1000,59,XGBoost,0.00532079
1000,60,XGBoost,0.00523973
1000,61,XGBoost,0.00530529
1000,62,XGBoost,0.00527859
1000,63,XGBoost,0.00531316
1000,64,XGBoost,0.00525117
1000,65,XGBoost,0.00534511
1000,66,XGBoost,0.00525904
1000,67,XGBoost,0.00524807
1000,68,XGBoost,0.00532818
1000,69,XGBoost,0.00528169
1000,70,XGBoost,0.00526118
1000,71,XGBoost,0.0750108
1000,72,XGBoost,0.00531745
1000,73,XGBoost,0.00525451
1000,74,XGBoost,0.00528431
1000,75,XGBoost,0.0052495
1000,76,XGBoost,0.00526285
1000,77,XGBoost,0.00526047
1000,78,XGBoost,0.00529051
1000,79,XGBoost,0.0052309
1000,80,XGBoost,0.00524569
1000,81,XGBoost,0.00524998
1000,82,XGBoost,0.00530052
1000,83,XGBoost,0.00529504
1000,84,XGBoost,0.00531125
1000,85,XGBoost,0.00525594
1000,86,XGBoost,0.0052917
1000,87,XGBoost,0.00533891
1000,88,XGBoost,0.00534344
1000,89,XGBoost,0.0621369
1000,90,XGBoost,0.00528264
1000,91,XGBoost,0.00530195
1000,92,XGBoost,0.00527525
1000,93,XGBoost,0.00532913
1000,94,XGBoost,0.00530171
1000,95,XGBoost,0.00528097
1000,96,XGBoost,0.00525641
1000,97,XGBoost,0.00528884
1000,98,XGBoost,0.0052526
1000,99,XGBoost,0.00530839
1000,100,XGBoost,0.00525236
2154,1,XGBoost,0.0106385
2154,2,XGBoost,0.0106378
2154,3,XGBoost,0.0106165
2154,4,XGBoost,0.0105469
2154,5,XGBoost,0.0105963
2154,6,XGBoost,0.0106871
2154,7,XGBoost,0.010643
2154,8,XGBoost,0.0106056
2154,9,XGBoost,0.0105836
2154,10,XGBoost,0.0107138
2154,11,XGBoost,0.0105867
2154,12,XGBoost,0.0106089
2154,13,XGBoost,0.0105455
2154,14,XGBoost,0.0106308
2154,15,XGBoost,0.0106118
2154,16,XGBoost,0.0106256
2154,17,XGBoost,0.010617
2154,18,XGBoost,0.0106125
2154,19,XGBoost,0.0105958
2154,20,XGBoost,0.010576
2154,21,XGBoost,0.0106692
2154,22,XGBoost,0.0106289
2154,23,XGBoost,0.0106404
2154,24,XGBoost,0.0106142
2154,25,XGBoost,0.0106404
2154,26,XGBoost,0.0105684
2154,27,XGBoost,0.062088
2154,28,XGBoost,0.0106261
