batchsize,trial_id,engine,elapsed_time
215,28,XGBoost,0.00425601
215,29,XGBoost,0.00424695
215,30,XGBoost,0.0042522
215,31,XGBoost,0.00422621
215,32,XGBoost,0.00431776
215,33,XGBoost,0.00422192
215,34,XGBoost,0.00422668
215,35,XGBoost,0.00422621
215,36,XGBoost,0.00425029
215,37,XGBoost,0.00427675
215,38,XGBoost,0.00437832
215,39,XGBoost,0.00434756
215,40,XGBoost,0.00424623
215,41,XGBoost,0.00424838
215,42,XGBoost,0.0623574
215,43,XGBoost,0.00438428
215,44,XGBoost,0.00427341
215,45,XGBoost,0.00430751
215,46,XGBoost,0.00427175
215,47,XGBoost,0.00433064
215,48,XGBoost,0.00423312
215,49,XGBoost,0.00433612
215,50,XGBoost,0.00426102
215,51,XGBoost,0.00417733
215,52,XGBoost,0.00431418
215,53,XGBoost,0.00426769
215,54,XGBoost,0.00434446
215,55,XGBoost,0.00425506
215,56,XGBoost,0.00432038
215,57,XGBoost,0.00413179
215,58,XGBoost,0.00425506
215,59,XGBoost,0.071547
215,60,XGBoost,0.00437999
215,61,XGBoost,0.00433517
215,62,XGBoost,0.00425267
215,63,XGBoost,0.00426483
215,64,XGBoost,0.0491521
215,65,XGBoost,0.00423813
215,66,XGBoost,0.00422931
215,67,XGBoost,0.00422692
215,68,XGBoost,0.00428939
215,69,XGBoost,0.0042634
215,70,XGBoost,0.00427318
215,71,XGBoost,0.00421238
215,72,XGBoost,0.0042069
215,73,XGBoost,0.00421476
215,74,XGBoost,0.00434303
215,75,XGBoost,0.00421596
215,76,XGBoost,0.00423455
215,77,XGBoost,0.0429449
215,78,XGBoost,0.00433731
215,79,XGBoost,0.00427914
215,80,XGBoost,0.00429392
215,81,XGBoost,0.00419378
215,82,XGBoost,0.00424957
215,83,XGBoost,0.00428963
215,84,XGBoost,0.0295849
215,85,XGBoost,0.00424957
215,86,XGBoost,0.0041852
215,87,XGBoost,0.00426531
215,88,XGBoost,0.00421
215,89,XGBoost,0.00427222
215,90,XGBoost,0.0043056
215,91,XGBoost,0.00423121
215,92,XGBoost,0.00427771
215,93,XGBoost,0.00422072
215,94,XGBoost,0.00415444
215,95,XGBoost,0.0042367
215,96,XGBoost,0.00433254
215,97,XGBoost,0.00422478
215,98,XGBoost,0.00420523
215,99,XGBoost,0.00423265
215,100,XGBoost,0.00416613
464,1,XGBoost,0.00939488
464,2,XGBoost,0.00243688
464,3,XGBoost,0.00241947
464,4,XGBoost,0.00255418
464,5,XGBoost,0.00250077
464,6,XGBoost,0.0024507
464,7,XGBoost,0.00250697
464,8,XGBoost,0.00242853
464,9,XGBoost,0.00241852
464,10,XGBoost,0.0299468
464,11,XGBoost,0.0024364
464,12,XGBoost,0.00242782
464,13,XGBoost,0.00247979
464,14,XGBoost,0.00247478
464,15,XGBoost,0.00243044
464,16,XGBoost,0.00242901
464,17,XGBoost,0.00240231
464,18,XGBoost,0.00245976
464,19,XGBoost,0.00246763
464,20,XGBoost,0.00253439
464,21,XGBoost,0.00246334
464,22,XGBoost,0.00248003
464,23,XGBoost,0.00244355
464,24,XGBoost,0.00243926
464,25,XGBoost,0.00247788
464,26,XGBoost,0.0297418
464,27,XGBoost,0.0024395
464,28,XGBoost,0.00248623
464,29,XGBoost,0.00249958
464,30,XGBoost,0.00245118
464,31,XGBoost,0.00244451
464,32,XGBoost,0.00245166
464,33,XGBoost,0.0024302
464,34,XGBoost,0.00246239
