,batchsize,package,elapsed_time,throughput
0,100,XGBoost,0.006807572841644287,14689.523318540974
1,100,treelite,0.004143552780151367,24133.8786557817
2,359,XGBoost,0.00835345983505249,42976.20472101596
3,359,treelite,0.008059155941009522,44545.607831361835
4,1291,XGBoost,0.012772049903869629,101080.09361980786
5,1291,treelite,0.016506056785583496,78213.71371553552
6,4641,XGBoost,0.04034712314605713,115026.78848252742
7,4641,treelite,0.04428405284881592,104800.70593006017
8,16681,XGBoost,0.1316750955581665,126683.0293860033
9,16681,treelite,0.14141419172286987,117958.45803573832
10,59948,XGBoost,0.45872056007385253,130685.22586026788
11,59948,treelite,0.47968090772628785,124974.74682525222
12,215443,XGBoost,1.6374023008346557,131576.09457992043
13,215443,treelite,1.6950191831588746,127103.57625481013
14,774263,XGBoost,5.834480233192444,132704.70874084145
15,774263,treelite,6.048658192157745,128005.74530791865
16,2782559,XGBoost,20.912236866950987,133058.888807704
17,2782559,treelite,21.68036643743515,128344.6480496473
18,10000000,XGBoost,75.04246299743653,133257.88627622207
19,10000000,treelite,77.86009076356888,128435.50401663607
