batchsize,trial_id,engine,elapsed_time
100,1,XGBoost,0.00544882
100,2,XGBoost,0.00503397
100,3,XGBoost,0.00513887
100,4,XGBoost,0.00507832
100,5,XGBoost,0.00496554
100,6,XGBoost,0.00512624
100,7,XGBoost,0.00536728
100,8,XGBoost,0.00507283
100,9,XGBoost,0.00522566
100,10,XGBoost,0.00520754
100,11,XGBoost,0.00522947
100,12,XGBoost,0.00513172
100,13,XGBoost,0.00517535
100,14,XGBoost,0.0103998
100,15,XGBoost,0.00559664
100,16,XGBoost,0.00524569
100,17,XGBoost,0.00504732
100,18,XGBoost,0.00516605
100,19,XGBoost,0.00512695
100,20,XGBoost,0.00496054
100,21,XGBoost,0.00523305
100,22,XGBoost,0.00511694
100,23,XGBoost,0.00517178
100,24,XGBoost,0.00508857
100,25,XGBoost,0.00483203
100,26,XGBoost,0.00511527
100,27,XGBoost,0.00515246
100,28,XGBoost,0.00499845
100,29,XGBoost,0.00522089
100,30,XGBoost,0.00495863
100,31,XGBoost,0.00512123
100,32,XGBoost,0.00514531
100,33,XGBoost,0.0107241
100,34,XGBoost,0.00555325
100,35,XGBoost,0.00519395
100,36,XGBoost,0.00510526
100,37,XGBoost,0.0049901
100,38,XGBoost,0.00509977
100,39,XGBoost,0.00531387
100,40,XGBoost,0.00524974
100,41,XGBoost,0.00525331
100,42,XGBoost,0.00493765
100,43,XGBoost,0.00499344
100,44,XGBoost,0.00491929
100,45,XGBoost,0.00508714
100,46,XGBoost,0.0050652
100,47,XGBoost,0.00520968
100,48,XGBoost,0.00537682
100,49,XGBoost,0.00521588
100,50,XGBoost,0.00488591
100,51,XGBoost,0.00529933
100,52,XGBoost,0.00525022
100,53,XGBoost,0.00521612
100,54,XGBoost,0.0106692
100,55,XGBoost,0.00518155
100,56,XGBoost,0.00521684
100,57,XGBoost,0.00520778
100,58,XGBoost,0.00511718
100,59,XGBoost,0.00532103
100,60,XGBoost,0.00492907
100,61,XGBoost,0.00501657
100,62,XGBoost,0.00486803
100,63,XGBoost,0.00510931
100,64,XGBoost,0.00507593
100,65,XGBoost,0.00533128
100,66,XGBoost,0.00499701
100,67,XGBoost,0.00552917
100,68,XGBoost,0.00515604
100,69,XGBoost,0.00515008
100,70,XGBoost,0.0051229
100,71,XGBoost,0.00495672
100,72,XGBoost,0.00510144
100,73,XGBoost,0.00491953
100,74,XGBoost,0.00505638
100,75,XGBoost,0.00506568
100,76,XGBoost,0.00501823
100,77,XGBoost,0.00507665
100,78,XGBoost,0.00490832
100,79,XGBoost,0.00485969
100,80,XGBoost,0.0105512
100,81,XGBoost,0.00505733
100,82,XGBoost,0.0050354
100,83,XGBoost,0.00519848
100,84,XGBoost,0.00484228
100,85,XGBoost,0.00514889
100,86,XGBoost,0.00542545
100,87,XGBoost,0.00512576
100,88,XGBoost,0.00543618
100,89,XGBoost,0.00500727
100,90,XGBoost,0.00497937
100,91,XGBoost,0.00513554
100,92,XGBoost,0.00519013
